,precision,recall,f1-score,support
At Risk,0.9795918367346939,0.96,0.9696969696969697,50.0
Healthy,0.8333333333333334,0.9090909090909091,0.8695652173913043,11.0
accuracy,0.9508196721311475,0.9508196721311475,0.9508196721311475,0.9508196721311475
macro avg,0.9064625850340136,0.9345454545454546,0.919631093544137,61.0
weighted avg,0.9532173525147764,0.9508196721311475,0.9516404241992267,61.0
