Model,Accuracy,Precision (At Risk),Recall (At Risk),F1-score (At Risk),Precision (Healthy),Recall (Healthy),F1-score (Healthy)
Logistic Regression,0.9836065573770492,0.9803921568627451,1.0,0.9900990099009901,1.0,0.9090909090909091,0.9523809523809523
Random Forest,0.9836065573770492,0.9803921568627451,1.0,0.9900990099009901,1.0,0.9090909090909091,0.9523809523809523
Gradient Boosting,0.9836065573770492,0.9803921568627451,1.0,0.9900990099009901,1.0,0.9090909090909091,0.9523809523809523
